query_type,mode,arm,bleu_1,bleu_4,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_l_p,rouge_l_r,rouge_l_f,rouge_1,rouge_2,rouge_l,jaccard,char_jaccard,cosine,levenshtein,judge_accuracy,judge_completeness,judge_groundedness,judge_average,precision_at_5,recall_at_5,mrr,elapsed_s,backend_ms,net_overhead,lat_per_step,words_per_sec,steps,prompt_tokens,completion_tokens,cost,word_count,char_count,sentence_count,paragraph_count,avg_word_len,avg_sent_len,ttr,citations,temporal_refs,bullet_points,abstained_flag,expert_abstention_rate,total_tokens,judge_per_1k_tokens,rouge_l_per_1k_tokens,judge_per_second,timing_planner,timing_router,timing_memory,timing_retrieval,timing_legal,timing_news,timing_general_qa,timing_aggregator,timing_validator,timing_response
decomposable,all,base,0.22469349179220957,0.04003835197280085,0.4555247196223932,0.2711956302895841,0.3348299964191541,0.12908477547106023,0.07631730663301768,0.09451248593388202,0.22913811006245713,0.1350115708959624,0.16736507233748102,0.3348299964191541,0.09451248593388202,0.16736507233748102,0.1811944747714916,0.794008914896553,0.6260481225703072,0.2820864235273018,2.0,1.7,1.2666666666666666,1.6555555555555554,,,,171.4967,171238.668,0.25803199999999815,8561.9334,1.4371703789481698,20.0,8567.2,1765.6,0.00234444,223.33333333333334,1666.5666666666666,14.133333333333333,6.333333333333333,6.202746270127736,16.837987037329142,0.640322632438655,1.1,1.2333333333333334,5.733333333333333,0.0,0.15553999999999998,10332.8,0.16073019873119382,0.01620436201947786,0.010642098840479569,0.012,447.64500000000004,0.43866666666666665,684.1956666666666,13274.866,36520.420333333335,25404.427666666666,63276.94700000001,2248.368,29375.461
decomposable,all,peft,0.22297464475393616,0.03632199057805819,0.4599292230232023,0.26811783058736693,0.33574298324660673,0.13043792161809695,0.07499562354080389,0.0943542480688782,0.22930020565382,0.13266579666129877,0.16655198214409903,0.33574298324660673,0.0943542480688782,0.16655198214409903,0.18237372237204935,0.7699736400183621,0.6439203932091079,0.2809853242497981,2.066666666666667,1.7666666666666666,1.5,1.777777777777778,,,,262.0458,261815.576,0.23022400000000498,13090.7788,0.8842686968348763,20.0,8626.766666666666,1853.9666666666667,0.0024063949999999995,219.03333333333333,1654.6333333333334,13.7,6.366666666666666,6.327144178570871,17.580037122974094,0.6523516718793753,1.1,1.1333333333333333,6.3,0.0,0.03333,10480.733333333334,0.1704647030958803,0.016008073580026302,0.0073223382257540425,0.1436666666666667,417.157,0.7516666666666667,801.7413333333334,58464.562666666665,56596.338,47886.561,68390.524,2617.4139999999998,26632.49033333333
decomposable,dag,base,0.22107772112698354,0.03679994145735968,0.45742334877042085,0.2668788567219296,0.3331739842862105,0.12488958976247591,0.07197940389235673,0.09023634426898096,0.22731155674854536,0.13160998767970972,0.16477575611662987,0.3331739842862105,0.09023634426898096,0.16477575611662987,0.1760038190966854,0.7867318590384099,0.6478135173698453,0.27946290708985555,1.9666666666666666,1.7,1.4666666666666666,1.7111111111111112,,,,158.19326666666666,157944.493,0.24877366666667106,7897.22465,1.3967634868036216,20.0,8517.666666666666,1721.8666666666666,0.0023107699999999998,219.56666666666666,1637.5,13.333333333333334,6.133333333333334,6.271633228426667,17.471330091333964,0.6486341700364089,1.3333333333333333,1.3,5.733333333333333,0.0,0.15553999999999998,10239.533333333333,0.16750898659968108,0.01606435214663624,0.010925255135026938,0.011666666666666667,449.954,0.432,607.495,28346.308666666668,50995.98966666667,21221.015333333333,53910.829999999994,2210.358333333333,28521.824
decomposable,dag,peft,0.2022913666432917,0.03365506465565849,0.4724442190760835,0.2569736806922347,0.32873470111756115,0.1313017272632924,0.06941951593942064,0.08966120521875154,0.23847652471596936,0.12860215892950375,0.16499737934004083,0.32873470111756115,0.08966120521875154,0.16499737934004083,0.18143848197206178,0.7784869704112863,0.6347922654168047,0.2787181548695531,1.9,1.7666666666666666,1.3,1.6555555555555554,,,,253.5802666666667,253356.33966666667,0.22392700000000426,12667.816983333332,0.8717706646161044,20.0,8598.1,1787.7666666666667,0.002362375,207.73333333333332,1580.5666666666666,12.433333333333334,6.0,6.3635285865417215,17.886581208609073,0.6599505111108663,0.9333333333333333,1.2,5.1,0.0,0.01111,10385.866666666667,0.1609911365744359,0.015951958588641537,0.007208247770509085,0.14466666666666667,410.6053333333333,0.728,893.7773333333333,84790.212,109591.21033333334,47067.587666666666,63773.509,2027.9360000000001,24956.247
decomposable,parallel,base,0.23007209543321422,0.03746729923558567,0.46525243290289237,0.2748274490818504,0.34219448541601866,0.12408008434072357,0.07295595821027526,0.0909827321472847,0.22455486976839487,0.1317966956478072,0.16455497105901895,0.34219448541601866,0.0909827321472847,0.16455497105901895,0.1862124055996038,0.7858048526847128,0.6502079577822751,0.28123897417648686,2.0,1.7,1.5333333333333334,1.7444444444444445,,,,165.79073333333332,165536.42366666667,0.2543096666666704,8276.821183333333,1.3618410984052145,20.0,8558.866666666667,1764.4333333333334,0.00234249,222.16666666666666,1661.4333333333334,13.8,6.533333333333333,6.238662857725819,16.714980622232943,0.6500482758123831,1.2,1.3666666666666667,7.166666666666667,0.0,0.14442999999999998,10323.3,0.16977693481904177,0.015920332139794224,0.01088844656831513,0.013666666666666667,428.974,0.43499999999999994,658.374,39989.06533333333,80327.43933333334,66339.673,53205.20333333334,2590.449333333333,27878.519333333334
decomposable,parallel,peft,0.21041890177999237,0.03445295975553802,0.45355205351778954,0.2579629184234534,0.3252285666741951,0.1247181694094702,0.07011690917141347,0.088771251468829,0.22681081998527264,0.1282484609245233,0.1620246648056181,0.3252285666741951,0.088771251468829,0.1620246648056181,0.1759160444010808,0.7667446471553397,0.6307776800614527,0.27888167438572703,2.0,1.6,1.3,1.6333333333333333,,,,259.07419999999996,258847.5606666667,0.2266393333333279,12942.378033333334,0.922720292106755,20.0,8754.166666666666,1932.1666666666667,0.002472425,216.0,1621.3,13.6,6.133333333333334,6.272800044349065,17.733678681454997,0.6462170561726618,1.0,1.1333333333333333,6.933333333333334,0.0,0.0,10686.333333333334,0.154328410680218,0.01520315234250396,0.007181614573436574,0.13133333333333333,412.53933333333333,0.7413333333333333,850.3866666666667,127392.67,144773.30566666665,81357.954,76028.67366666667,2542.2483333333334,25927.064000000002
routing,all,base,0.2617903129861152,0.04856091385522844,0.46063891362027226,0.2972142660258722,0.35711184771571797,0.12441976145904673,0.08124558203220424,0.09725271605207392,0.22886235845368205,0.14608651982277682,0.17620377318955394,0.35711184771571797,0.09725271605207392,0.17620377318955394,0.18675873369551813,0.7928835710818806,0.6756544864809458,0.2781528744471584,2.3,1.9,1.6333333333333333,1.9444444444444444,,,,111.2898,111036.65233333333,0.25314766666666677,5471.383978205128,1.8566824334323007,20.2,8270.166666666666,1307.6666666666667,0.002025125,202.33333333333334,1446.8666666666666,11.6,5.033333333333333,5.915770485839312,19.046369877685667,0.6499595840049952,0.7666666666666667,4.166666666666667,2.1333333333333333,0.0,0.31107999999999997,9577.833333333334,0.20337394086808594,0.01849954311027154,0.018218566162168763,0.010666666666666666,402.90233333333333,0.414,573.1053333333333,2653.414333333333,22671.25633333333,18507.750333333333,40064.84133333333,2262.0033333333336,23895.435
routing,all,peft,0.23359091232418192,0.03424109136052397,0.45188249172152484,0.27593335028728383,0.33767025176986987,0.11819299130174922,0.07058230737297362,0.08703118548691952,0.222371898690574,0.13448022030679432,0.16515722490078028,0.33767025176986987,0.08703118548691952,0.16515722490078028,0.17255425090151383,0.8046140484330605,0.6673762702244389,0.2706940811489153,2.1,1.7666666666666666,1.5,1.7888888888888888,,,,277.18603333333334,276833.7733333333,0.3522599999999926,13841.688666666667,0.7848383868390953,20.0,8716.7,1692.9,0.002323245,194.0,1409.6333333333334,12.366666666666667,5.6,6.0302836552399635,17.606261039566668,0.6621517738928515,0.9333333333333333,5.333333333333333,3.3666666666666667,0.0,0.02222,10409.6,0.1752830046560803,0.016109342782766756,0.007573837284510872,0.017333333333333333,624.6883333333334,1.5013333333333334,1223.7730000000001,55475.473333333335,70870.21833333332,32030.708,79018.35233333333,3519.999333333333,34061.939
routing,dag,base,0.26189281355678323,0.04743609091948207,0.46327788737305,0.297966239837964,0.3586997615442342,0.1280439192558977,0.08258423606785238,0.09926257883229556,0.22443121858526377,0.1432103058684752,0.1729461514056197,0.3586997615442342,0.09926257883229556,0.1729461514056197,0.1853472963627331,0.7871789290861934,0.6829536865263781,0.27875756120293615,2.1,1.9,1.4666666666666666,1.8222222222222222,,,,107.64246666666666,107396.12833333334,0.246338333333334,5369.806416666667,1.8751621210414222,20.0,8241.666666666666,1294.7333333333333,0.00201309,199.6,1405.3333333333333,10.666666666666666,4.833333333333333,5.891843467108056,19.335007179639533,0.6529721557949932,0.7333333333333333,4.166666666666667,2.3666666666666667,0.0,0.32219,9536.4,0.19119778313031552,0.018224294091637186,0.017225162213480645,0.010333333333333333,402.65566666666666,0.41466666666666663,569.0759999999999,5928.818,25029.291,17997.147333333334,37864.09766666666,1987.444,23165.668333333335
routing,dag,peft,0.26268313664267706,0.0434310210554454,0.4420659037571649,0.2929137342182448,0.34948670747312555,0.11694103537724441,0.0772149632108094,0.09230062778612833,0.22086640129327034,0.145635601420952,0.1740835029860485,0.34948670747312555,0.09230062778612833,0.1740835029860485,0.17886244502828189,0.7954132040214585,0.6600263987118195,0.27548358841573906,2.033333333333333,1.7333333333333334,1.5666666666666667,1.777777777777778,,,,264.2827,263951.679,0.33102099999999174,13197.58395,0.877614900958742,20.0,8698.5,1675.7,0.0023101949999999997,207.46666666666667,1478.7666666666667,12.266666666666667,5.266666666666667,5.916381731248787,18.387199041212202,0.6448891706571913,0.8666666666666667,4.833333333333333,2.7,0.0,0.01111,10374.2,0.1724451874886677,0.017056362740633255,0.007557776852752886,0.019000000000000003,525.0516666666666,1.456,1213.507,91366.31466666666,103275.84899999999,33222.147333333334,73502.23966666666,2969.898,34099.664666666664
routing,parallel,base,0.2577823441290888,0.043778558674030243,0.45903049356768194,0.29277082797856924,0.35486336533558227,0.12336900843052197,0.07916202839586396,0.09574942363477987,0.2193510015731232,0.13954689678554705,0.16928094977268363,0.35486336533558227,0.09574942363477987,0.16928094977268363,0.1822319084952053,0.7836226015809358,0.6748591272779022,0.277553592035835,2.066666666666667,1.8333333333333333,1.4666666666666666,1.7888888888888888,,,,116.98293333333335,116734.28066666666,0.2486526666666696,5753.312985714287,1.7436840571667387,20.266666666666666,8246.733333333334,1296.7666666666667,0.00201507,199.1,1417.9666666666667,11.033333333333333,4.8,5.912223757498942,19.512166999667,0.655822285512762,0.6,4.633333333333334,2.5,0.0,0.32219,9543.5,0.18851815650983964,0.017812033751816884,0.01619051167210569,0.010666666666666666,421.99300000000005,0.432,569.5840000000001,7611.042666666666,49179.05133333334,42574.15,39462.21,2484.9033333333336,23817.025333333335
