scope,arm,comparison,left,right,n_queries_paired,judge_average_n,judge_average_left_mean,judge_average_right_mean,judge_average_median_diff,judge_average_underpowered,judge_average_p,judge_average_cliffs_delta,rouge_l_n,rouge_l_left_mean,rouge_l_right_mean,rouge_l_median_diff,rouge_l_underpowered,rouge_l_p,rouge_l_cliffs_delta,elapsed_s_n,elapsed_s_left_mean,elapsed_s_right_mean,elapsed_s_median_diff,elapsed_s_underpowered,elapsed_s_p,elapsed_s_cliffs_delta,cost_n,cost_left_mean,cost_right_mean,cost_median_diff,cost_underpowered,cost_p,cost_cliffs_delta,abstained_flag_n,abstained_flag_left_mean,abstained_flag_right_mean,abstained_flag_median_diff,abstained_flag_underpowered,abstained_flag_p,abstained_flag_cliffs_delta,judge_per_1k_tokens_n,judge_per_1k_tokens_left_mean,judge_per_1k_tokens_right_mean,judge_per_1k_tokens_median_diff,judge_per_1k_tokens_underpowered,judge_per_1k_tokens_p,judge_per_1k_tokens_cliffs_delta,judge_average_p_holm,rouge_l_p_holm,elapsed_s_p_holm,cost_p_holm,abstained_flag_p_holm,judge_per_1k_tokens_p_holm,mode
overall,base,all_vs_dag,all,dag,30,30,1.7518518518518524,1.7962962962962963,-0.11111111111111083,False,0.4242624454870564,-0.07333333333333333,30,0.1732409364248464,0.17330196181330212,-0.0024383180238189417,False,0.7921590935438871,-0.011111111111111112,30,127.17377777777776,124.42192222222222,-5.563333333333333,False,0.140283040702343,-0.11555555555555555,30,0.0020975283333333336,0.0020965416666666667,2.362500000000021e-05,False,0.9032264724373817,-0.035555555555555556,30,0.0,0.0,0.0,False,,0.0,30,0.18143732712333654,0.18614861926805046,-0.005684908494841226,False,0.370740607380867,-0.035555555555555556,1.0,0.7921590935438871,0.280566081404686,0.9032264724373817,,1.0,
overall,base,all_vs_parallel,all,parallel,30,30,1.7518518518518524,1.7777777777777777,0.0,False,0.5868270896071073,-0.025555555555555557,30,0.1732409364248464,0.16800278367250426,0.0057499483689884,False,0.0426517054438591,0.13111111111111112,30,127.17377777777776,128.51113333333333,-5.811500000000009,False,0.0061949919909238815,-0.15555555555555556,30,0.0020975283333333336,0.0020840816666666665,2.867500000000025e-05,False,0.25343610532581806,0.011111111111111112,30,0.0,0.0,0.0,False,,0.0,30,0.18143732712333654,0.1850239636116375,-0.0022598641458531493,False,0.4399667661637068,-0.03777777777777778,1.0,0.0853034108877182,0.018584975972771645,0.7603083159774542,,1.0,
overall,base,dag_vs_parallel,dag,parallel,30,30,1.7962962962962963,1.7777777777777777,0.0,False,0.619354846142973,0.03111111111111111,30,0.17330196181330212,0.16800278367250426,0.00640951399618038,False,0.017453668639063835,0.09333333333333334,30,124.42192222222222,128.51113333333333,-2.3201666666666796,False,0.28008678182959557,-0.028888888888888888,30,0.0020965416666666667,0.0020840816666666665,9.00000000000011e-06,False,0.3817984350025654,0.07111111111111111,30,0.0,0.0,0.0,False,,0.0,30,0.18614861926805046,0.1850239636116375,0.00442722990927219,False,0.8393927440047264,0.0,1.0,0.052361005917191505,0.280566081404686,0.7635968700051308,,1.0,
query_type=decomposable,base,all_vs_dag,all,dag,10,10,1.6555555555555557,1.7111111111111115,-0.05555555555555558,False,0.4453125,-0.08,10,0.16736507233748105,0.16477575611662987,0.003147728258161911,False,0.4921875,0.02,10,171.49670000000003,158.19326666666666,-5.103833333333313,False,0.275390625,-0.14,10,0.0023444399999999997,0.0023107699999999998,4.542499999999998e-05,False,0.232421875,0.04,10,0.0,0.0,0.0,False,,0.0,10,0.16073019873119382,0.16750898659968108,-0.005095002540121796,False,0.375,-0.08,0.875,1.0,0.46484375,0.697265625,,0.75,
query_type=decomposable,base,all_vs_parallel,all,parallel,10,10,1.6555555555555557,1.7444444444444442,-0.16666666666666663,False,0.19921875,-0.17,10,0.16736507233748105,0.16455497105901895,6.717023524893673e-08,False,0.625,0.02,10,171.49670000000003,165.79073333333332,-10.346333333333341,False,0.130859375,-0.26,10,0.0023444399999999997,0.00234249,3.684999999999962e-05,False,0.431640625,-0.02,10,0.0,0.0,0.0,False,,0.0,10,0.16073019873119382,0.1697769348190418,-0.014627198908617217,False,0.083984375,-0.22,0.59765625,1.0,0.392578125,0.697265625,,0.251953125,
query_type=decomposable,base,dag_vs_parallel,dag,parallel,10,10,1.7111111111111115,1.7444444444444442,0.0,False,0.4375,-0.07,10,0.16477575611662987,0.16455497105901895,-0.0023714951210014046,False,0.921875,-0.1,10,158.19326666666666,165.79073333333332,-9.576000000000008,False,0.232421875,-0.36,10,0.0023107699999999998,0.00234249,-3.670000000000019e-05,False,0.232421875,-0.14,10,0.0,0.0,0.0,False,,0.0,10,0.16750898659968108,0.1697769348190418,0.0018363622687972841,False,0.556640625,-0.08,0.875,1.0,0.46484375,0.697265625,,0.75,
query_type=routing,base,all_vs_dag,all,dag,10,10,1.9444444444444442,1.8222222222222222,0.11111111111111116,False,0.09375,0.23,10,0.17620377318955396,0.17294615140561972,0.0026527138262387867,False,0.556640625,0.0,10,111.28980000000001,107.64246666666668,4.3999999999999915,False,0.6953125,0.02,10,0.0020251249999999996,0.00201309,3.6875000000000015e-05,False,0.921875,0.0,10,0.0,0.0,0.0,False,,0.0,10,0.20337394086808597,0.19119778313031555,0.014581576412624073,False,0.193359375,0.3,0.28125,0.826171875,0.6953125,1.0,,0.580078125,
query_type=routing,base,all_vs_parallel,all,parallel,10,10,1.9444444444444442,1.7888888888888885,0.16666666666666685,False,0.1484375,0.25,10,0.17620377318955396,0.16928094977268365,0.006576756097805336,False,0.275390625,0.16,10,111.28980000000001,116.98293333333336,-5.000166666666686,False,0.275390625,-0.22,10,0.0020251249999999996,0.00201507,4.017500000000015e-05,False,0.921875,0.02,10,0.0,0.0,0.0,False,,0.0,10,0.20337394086808597,0.18851815650983964,0.019152847050226962,False,0.193359375,0.28,0.296875,0.826171875,0.580078125,1.0,,0.580078125,
query_type=routing,base,dag_vs_parallel,dag,parallel,10,10,1.8222222222222222,1.7888888888888885,0.11111111111111094,False,0.677734375,0.07,10,0.17294615140561972,0.16928094977268365,0.009150913945170591,False,0.375,0.04,10,107.64246666666668,116.98293333333336,-5.160000000000011,False,0.193359375,-0.1,10,0.00201309,0.00201507,9.00000000000011e-06,False,0.625,0.08,10,0.0,0.0,0.0,False,,0.0,10,0.19119778313031555,0.18851815650983964,0.01243627515051629,False,0.921875,0.02,0.677734375,0.826171875,0.580078125,1.0,,0.921875,
query_type=simple,base,all_vs_dag,all,dag,10,10,1.6555555555555557,1.8555555555555556,-0.2222222222222222,False,0.04296875,-0.38,10,0.17615396374750428,0.18218397791765675,-0.006164721997647907,False,0.10546875,-0.12,10,98.73483333333333,107.43003333333334,-6.331333333333333,False,0.02734375,-0.32,10,0.00192302,0.001965765,-3.327499999999982e-05,False,0.232421875,-0.24,10,0.0,0.0,0.0,False,,0.0,10,0.18020784177072977,0.1997390880741548,-0.018575194967392974,False,0.10546875,-0.36,0.12890625,0.12890625,0.08203125,0.46484375,,0.31640625,
